title,director,cast,genres,revenue,vote_average,popularity
The Hobbit: An Unexpected Journey (2012),Peter Jackson,Ian McKellen / Martin Freeman / Richard Armitage,Adventure / Fantasy / Action,1021103568,7.0,108.849621
The Dark Knight (2008),Christopher Nolan,Christian Bale / Heath Ledger / Aaron Eckhart,Drama / Action / Crime / Thriller,1004558444,8.2,187.322927
Harry Potter and the Philosopher's Stone (2001),Chris Columbus,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family,976475550,7.5,109.984351
Despicable Me 2 (2013),Pierre Coffin,Steve Carell / Kristen Wiig / Benjamin Bratt,Animation / Comedy / Family,970761885,7.0,136.886704
The Jungle Book (2016),Jon Favreau,Neel Sethi / Bill Murray / Ben Kingsley,Family / Adventure / Drama / Fantasy,966550600,6.7,94.199316
Pirates of the Caribbean: At World's End (2007),Gore Verbinski,Johnny Depp / Orlando Bloom / Keira Knightley,Adventure / Fantasy / Action,961000000,6.9,139.082615
The Hobbit: The Desolation of Smaug (2013),Peter Jackson,Martin Freeman / Ian McKellen / Richard Armitage,Adventure / Fantasy,958400000,7.6,94.370564
The Hobbit: The Battle of the Five Armies (2014),Peter Jackson,Martin Freeman / Ian McKellen / Richard Armitage,Action / Adventure / Fantasy,956019788,7.1,120.965743
Finding Nemo (2003),Andrew Stanton,Albert Brooks / Ellen DeGeneres / Alexander Gould,Animation / Family,940335536,7.6,85.688789
Harry Potter and the Order of the Phoenix (2007),David Yates,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family / Mystery,938212738,7.4,78.144395
Harry Potter and the Half-Blood Prince (2009),David Yates,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family,933959197,7.4,98.885637
The Lord of the Rings: The Two Towers (2002),Peter Jackson,Elijah Wood / Ian McKellen / Viggo Mortensen,Adventure / Fantasy / Action,926287400,8.0,106.914973
Star Wars: Episode I - The Phantom Menace (1999),George Lucas,Liam Neeson / Ewan McGregor / Natalie Portman,Adventure / Action / Science Fiction,924317558,6.3,54.035265
Jurassic Park (1993),Steven Spielberg,Sam Neill / Laura Dern / Jeff Goldblum,Adventure / Science Fiction,920100000,7.6,40.413191
Shrek 2 (2004),Andrew Adamson,Mike Myers / Eddie Murphy / Cameron Diaz,Adventure / Animation / Comedy / Family / Fantasy,919838758,6.7,47.320801
Harry Potter and the Goblet of Fire (2005),Mike Newell,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family,895921036,7.5,101.250416
Spider-Man 3 (2007),Sam Raimi,Tobey Maguire / Kirsten Dunst / James Franco,Fantasy / Action / Adventure,890871626,5.9,115.699814
Ice Age: Dawn of the Dinosaurs (2009),Carlos Saldanha,Ray Romano / John Leguizamo / Denis Leary,Animation / Comedy / Family / Adventure,886686817,6.5,69.457898
Spectre (2015),Sam Mendes,Daniel Craig / Christoph Waltz / Léa Seydoux,Action / Adventure / Crime,880674609,6.3,107.376788
Ice Age: Continental Drift (2012),Steve Martino,John Leguizamo / Ray Romano / Chris Wedge,Animation / Comedy / Adventure / Family,877244782,6.2,65.229868
Harry Potter and the Chamber of Secrets (2002),Chris Columbus,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family,876688482,7.4,132.397737
The Secret Life of Pets (2016),Chris Renaud,Louis C.K. / Eric Stonestreet / Kevin Hart,Animation / Family,875958308,5.9,31.482872
Batman v Superman: Dawn of Justice (2016),Zack Snyder,Ben Affleck / Henry Cavill / Gal Gadot,Action / Adventure / Fantasy,873260194,5.7,155.790452
The Lord of the Rings: The Fellowship of the Ring (2001),Peter Jackson,Elijah Wood / Ian McKellen / Cate Blanchett,Adventure / Fantasy / Action,871368364,8.0,138.049577
Inside Out (2015),Pete Docter,Amy Poehler / Phyllis Smith / Richard Kind,Drama / Comedy / Animation / Family,857611174,8.0,128.655964
Star Wars: Episode III - Revenge of the Sith (2005),George Lucas,Ewan McGregor / Natalie Portman / Hayden Christensen,Science Fiction / Adventure / Action,850000000,7.1,44.108427
The Hunger Games: Catching Fire (2013),Francis Lawrence,Jennifer Lawrence / Josh Hutcherson / Liam Hemsworth,Adventure / Action / Science Fiction,847423452,7.4,76.310119
Transformers: Revenge of the Fallen (2009),Michael Bay,Shia LaBeouf / Megan Fox / Josh Duhamel,Science Fiction / Action / Adventure,836297228,6.0,21.939663
The Twilight Saga: Breaking Dawn - Part 2 (2012),Bill Condon,Kristen Stewart / Robert Pattinson / Taylor Lautner,Adventure / Fantasy / Drama / Romance,829000000,6.1,99.687084
Inception (2010),Christopher Nolan,Leonardo DiCaprio / Joseph Gordon-Levitt / Ellen Page,Action / Thriller / Science Fiction / Mystery / Adventure,825532764,8.1,167.58371
Spider-Man (2002),Sam Raimi,Tobey Maguire / Willem Dafoe / Kirsten Dunst,Fantasy / Action,821708551,6.8,82.502566
Independence Day (1996),Roland Emmerich,Will Smith / Bill Pullman / Jeff Goldblum,Action / Adventure / Science Fiction,816969268,6.7,60.442593
Shrek the Third (2007),Chris Miller,Mike Myers / Eddie Murphy / Cameron Diaz,Fantasy / Adventure / Animation / Comedy / Family,798958165,6.0,42.986467
E.T. the Extra-Terrestrial (1982),Steven Spielberg,Henry Thomas / Drew Barrymore / Robert MacNaughton,Science Fiction / Adventure / Family / Fantasy,792910554,7.3,56.105798
Harry Potter and the Prisoner of Azkaban (2004),Alfonso Cuarón,Daniel Radcliffe / Rupert Grint / Emma Watson,Adventure / Fantasy / Family,789804554,7.7,79.679601
The Lion King (1994),Roger Allers,Jonathan Taylor Thomas / Matthew Broderick / James Earl Jones,Family / Animation / Drama,788241776,8.0,90.457886
Indiana Jones and the Kingdom of the Crystal Skull (2008),Steven Spielberg,Harrison Ford / Cate Blanchett / Shia LaBeouf,Adventure / Action,786636033,5.7,75.674458
Spider-Man 2 (2004),Sam Raimi,Tobey Maguire / Kirsten Dunst / James Franco,Action / Adventure / Fantasy,783766341,6.7,35.149586
Deadpool (2016),Tim Miller,Ryan Reynolds / Morena Baccarin / Ed Skrein,Action / Adventure / Comedy,783112979,7.4,514.569956
Star Wars (1977),George Lucas,Mark Hamill / Harrison Ford / Carrie Fisher,Adventure / Action / Science Fiction,775398007,8.1,126.393695
Guardians of the Galaxy (2014),James Gunn,Chris Pratt / Zoe Saldana / Dave Bautista,Action / Science Fiction / Adventure,773328629,7.9,481.098624
2012 (2009),Roland Emmerich,John Cusack / Amanda Peet / Chiwetel Ejiofor,Action / Adventure / Science Fiction,769653595,5.6,45.274225
The Da Vinci Code (2006),Ron Howard,Tom Hanks / Audrey Tautou / Ian McKellen,Thriller / Mystery,767820459,6.5,45.313197
Maleficent (2014),Robert Stromberg,Angelina Jolie / Elle Fanning / Sharlto Copley,Fantasy / Adventure / Action / Family / Romance,758539785,7.0,110.620647
Shrek Forever After (2010),Mike Mitchell,Mike Myers / Eddie Murphy / Cameron Diaz,Comedy / Adventure / Fantasy / Animation / Family,752600867,6.0,44.041186
The Amazing Spider-Man (2012),Marc Webb,Andrew Garfield / Emma Stone / Rhys Ifans,Action / Adventure / Fantasy,752215857,6.5,89.866276
The Hunger Games: Mockingjay - Part 1 (2014),Francis Lawrence,Jennifer Lawrence / Josh Hutcherson / Liam Hemsworth,Science Fiction / Adventure / Thriller,752100229,6.6,206.227151
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",Andrew Adamson,William Moseley / Anna Popplewell / Skandar Keynes,Adventure / Family / Fantasy,748806957,6.7,67.391328
X-Men: Days of Future Past (2014),Bryan Singer,Hugh Jackman / James McAvoy / Michael Fassbender,Action / Adventure / Fantasy / Science Fiction,747862775,7.5,118.078691
Madagascar 3: Europe's Most Wanted (2012),Conrad Vernon,Ben Stiller / Sacha Baron Cohen / David Schwimmer,Animation / Family,746921274,6.4,44.989192
Suicide Squad (2016),David Ayer,Will Smith / Margot Robbie / Joel Kinnaman,Action / Adventure / Crime / Fantasy / Science Fiction,745000000,5.9,90.23792
Monsters University (2013),Dan Scanlon,Billy Crystal / John Goodman / Steve Buscemi,Animation / Family,743559607,7.0,89.186492
The Matrix Reloaded (2003),Lilly Wachowski,Keanu Reeves / Carrie-Anne Moss / Laurence Fishburne,Adventure / Action / Thriller / Science Fiction,738599701,6.7,70.78591
Up (2009),Pete Docter,Ed Asner / Christopher Plummer / Jordan Nagai,Animation / Comedy / Family / Adventure,735099082,7.7,92.201962
Gravity (2013),Alfonso Cuarón,Sandra Bullock / George Clooney / Ed Harris,Science Fiction / Thriller / Drama,716392705,7.3,110.153618
Captain America: The Winter Soldier (2014),Anthony Russo,Chris Evans / Samuel L. Jackson / Scarlett Johansson,Action / Adventure / Science Fiction,714766572,7.6,72.225265
Dawn of the Planet of the Apes (2014),Matt Reeves,Andy Serkis / Jason Clarke / Gary Oldman,Science Fiction / Action / Drama / Thriller,710644566,7.3,243.791743
The Twilight Saga: New Moon (2009),Chris Weitz,Kristen Stewart / Robert Pattinson / Taylor Lautner,Adventure / Fantasy / Drama / Romance,709827462,5.6,94.815867
Transformers (2007),Michael Bay,Shia LaBeouf / Josh Duhamel / Megan Fox,Adventure / Science Fiction / Action,709709780,6.6,25.468493
The Amazing Spider-Man 2 (2014),Marc Webb,Andrew Garfield / Emma Stone / Jamie Foxx,Action / Adventure / Fantasy,705717432,6.5,89.270217
The Twilight Saga: Eclipse (2010),David Slade,Kristen Stewart / Robert Pattinson / Taylor Lautner,Adventure / Fantasy / Drama / Romance,698491347,5.8,107.069763
Mission: Impossible - Ghost Protocol (2011),Brad Bird,Tom Cruise / Jeremy Renner / Simon Pegg,Action / Thriller / Adventure,694713380,6.8,77.77477
The Hunger Games (2012),Gary Ross,Jennifer Lawrence / Josh Hutcherson / Liam Hemsworth,Science Fiction / Adventure / Fantasy,691210692,6.9,68.550698
Mission: Impossible - Rogue Nation (2015),Christopher McQuarrie,Tom Cruise / Rebecca Ferguson / Simon Pegg,Action / Adventure / Thriller,682330139,7.1,114.522237
Forrest Gump (1994),Robert Zemeckis,Tom Hanks / Robin Wright / Gary Sinise,Comedy / Drama / Romance,677945399,8.2,138.133331
Interstellar (2014),Christopher Nolan,Matthew McConaughey / Jessica Chastain / Anne Hathaway,Adventure / Drama / Science Fiction,675120017,8.1,724.247784
The Sixth Sense (1999),M. Night Shyamalan,Bruce Willis / Toni Collette / Olivia Williams,Mystery / Thriller / Drama,672806292,7.7,73.085576
Kung Fu Panda 2 (2011),Jennifer Yuh Nelson,Jack Black / Angelina Jolie / Dustin Hoffman,Animation / Family,665692281,6.7,51.247321
Man of Steel (2013),Zack Snyder,Henry Cavill / Amy Adams / Michael Shannon,Action / Adventure / Fantasy / Science Fiction,662845518,6.5,99.398009
Ice Age: The Meltdown (2006),Carlos Saldanha,Ray Romano / John Leguizamo / Denis Leary,Animation / Family / Comedy / Adventure,660940780,6.5,85.115058
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Gore Verbinski,Johnny Depp / Geoffrey Rush / Orlando Bloom,Adventure / Fantasy / Action,655011224,7.5,271.972889
The Hunger Games: Mockingjay - Part 2 (2015),Francis Lawrence,Jennifer Lawrence / Josh Hutcherson / Liam Hemsworth,Action / Adventure / Science Fiction,653428261,6.6,127.284427
Big Hero 6 (2014),Chris Williams,Scott Adsit / Ryan Potter / Daniel Henney,Adventure / Family / Animation / Action / Comedy,652105443,7.8,203.73459
Star Wars: Episode II - Attack of the Clones (2002),George Lucas,Ewan McGregor / Natalie Portman / Hayden Christensen,Adventure / Action / Science Fiction,649398328,6.4,43.987061
Thor: The Dark World (2013),Alan Taylor,Chris Hemsworth / Natalie Portman / Tom Hiddleston,Action / Adventure / Fantasy,644571402,6.8,99.499595
Kung Fu Panda (2008),Mark Osborne,Jack Black / Dustin Hoffman / Angelina Jolie,Adventure / Animation / Family / Comedy,631744560,6.9,84.689648
The Incredibles (2004),Brad Bird,Craig T. Nelson / Holly Hunter / Samuel L. Jackson,Action / Adventure / Animation / Family,631442092,7.4,77.817571
The Martian (2015),Ridley Scott,Matt Damon / Jessica Chastain / Kristen Wiig,Drama / Adventure / Science Fiction,630161890,7.6,167.93287
Fast Five (2011),Justin Lin,Vin Diesel / Paul Walker / Jordana Brewster,Action / Thriller / Crime,626137675,7.1,7.255718
Hancock (2008),Peter Berg,Will Smith / Charlize Theron / Jason Bateman,Fantasy / Action,624029371,6.2,56.758411
Men in Black 3 (2012),Barry Sonnenfeld,Will Smith / Tommy Lee Jones / Josh Brolin,Action / Comedy / Science Fiction,624026776,6.2,52.035179
Iron Man 2 (2010),Jon Favreau,Robert Downey Jr. / Gwyneth Paltrow / Don Cheadle,Adventure / Action / Science Fiction,623933331,6.6,77.300194
Ratatouille (2007),Jan Pinkava,Patton Oswalt / Ian Holm / Lou Romano,Animation / Comedy / Family / Fantasy,623722818,7.5,65.677399
The Passion of the Christ (2004),Mel Gibson,Jim Caviezel / Maia Morgenstern / Monica Bellucci,Drama,611899420,6.9,38.171417
Mamma Mia! (2008),Phyllida Lloyd,Meryl Streep / Pierce Brosnan / Amanda Seyfried,Comedy / Romance,609841637,6.4,30.780599
How to Train Your Dragon 2 (2014),Dean DeBlois,Jay Baruchel / Gerard Butler / Kristen Wiig,Fantasy / Action / Adventure / Animation / Comedy / Family,609123048,7.6,100.21391
Life of Pi (2012),Ang Lee,Suraj Sharma / Irrfan Khan / Ayush Tandon,Adventure / Drama / Action,609016565,7.2,51.328145
Madagascar: Escape 2 Africa (2008),Eric Darnell,Ben Stiller / Jada Pinkett Smith / David Schwimmer,Family / Animation,603900354,6.2,44.141021
Casino Royale (2006),Martin Campbell,Daniel Craig / Eva Green / Mads Mikkelsen,Adventure / Action / Thriller,599045960,7.3,88.935165
Tangled (2010),Byron Howard,Zachary Levi / Mandy Moore / Donna Murphy,Animation / Family,591794936,7.4,48.681969
War of the Worlds (2005),Steven Spielberg,Tom Cruise / Dakota Fanning / Miranda Otto,Adventure / Thriller / Science Fiction,591739379,6.2,48.572726
Men in Black (1997),Barry Sonnenfeld,Tommy Lee Jones / Will Smith / Linda Fiorentino,Action / Adventure / Comedy / Science Fiction,589390539,6.9,104.121555
Quantum of Solace (2008),Marc Forster,Daniel Craig / Olga Kurylenko / Mathieu Amalric,Adventure / Action / Thriller / Crime,586090727,6.1,107.928811
I Am Legend (2007),Francis Lawrence,Will Smith / Alice Braga / Charlie Tahan,Drama / Horror / Action / Thriller / Science Fiction,585349010,6.9,70.867401
The Croods (2013),Chris Sanders,Nicolas Cage / Emma Stone / Ryan Reynolds,Adventure / Animation / Comedy / Family / Fantasy,585178928,6.8,64.183321
Iron Man (2008),Jon Favreau,Robert Downey Jr. / Terrence Howard / Jeff Bridges,Action / Science Fiction / Adventure,585174222,7.4,120.725053
Night at the Museum (2006),Shawn Levy,Ben Stiller / Jake Cherry / Carla Gugino,Action / Adventure / Comedy / Family / Fantasy,574480841,6.3,48.780039
Return of the Jedi (1983),Richard Marquand,Mark Hamill / Harrison Ford / Carrie Fisher,Adventure / Action / Science Fiction,572700000,7.9,46.509071
Fifty Shades of Grey (2015),Sam Taylor-Johnson,Dakota Johnson / Jamie Dornan / Jennifer Ehle,Drama / Romance / Thriller,571006128,5.2,98.755657
The Smurfs (2011),Raja Gosnell,Hank Azaria / Neil Patrick Harris / Jayma Mays,Animation / Family / Adventure / Comedy / Fantasy,563749323,5.5,36.65422
"Monsters, Inc. (2001)",Pete Docter,John Goodman / Billy Crystal / Mary Gibbs,Animation / Comedy / Family,562816256,7.5,106.815545
Cars 2 (2011),John Lasseter,Owen Wilson / Larry the Cable Guy / Michael Caine,Animation / Family / Adventure / Comedy,559852396,5.8,49.98659
Puss in Boots (2011),Chris Miller,Antonio Banderas / Salma Hayek / Zach Galifianakis,Action / Adventure / Animation / Family / Fantasy,554987477,6.4,20.678787
Armageddon (1998),Michael Bay,Bruce Willis / Billy Bob Thornton / Ben Affleck,Action / Thriller / Science Fiction / Adventure,553799566,6.4,58.485967
King Kong (2005),Peter Jackson,Naomi Watts / Jack Black / Adrien Brody,Adventure / Drama / Action,550000000,6.6,61.22601
Ted (2012),Seth MacFarlane,Mark Wahlberg / Mila Kunis / Seth MacFarlane,Comedy / Fantasy,549368315,6.3,68.87691
Mission: Impossible II (2000),John Woo,Tom Cruise / Dougray Scott / Thandie Newton,Adventure / Action / Thriller,546388105,5.9,54.931334
The Day After Tomorrow (2004),Roland Emmerich,Dennis Quaid / Jake Gyllenhaal / Emmy Rossum,Action / Adventure / Science Fiction / Thriller,544272402,6.2,41.380094
X-Men: Apocalypse (2016),Bryan Singer,James McAvoy / Michael Fassbender / Jennifer Lawrence,Science Fiction,543934787,6.4,139.272042
Cinderella (2015),Kenneth Branagh,Lily James / Cate Blanchett / Richard Madden,Romance / Fantasy / Family / Drama,543514353,6.7,101.187052
Despicable Me (2010),Pierre Coffin,Steve Carell / Jason Segel / Russell Brand,Animation / Family,543513985,7.1,113.858273
American Sniper (2014),Clint Eastwood,Bradley Cooper / Sienna Miller / Kyle Gallner,War / Action,542307423,7.4,87.53437
Brave (2012),Brenda Chapman,Kelly Macdonald / Julie Walters / Billy Connolly,Animation / Adventure / Comedy / Family / Action / Fantasy,538983207,6.7,125.114374
The Empire Strikes Back (1980),Irvin Kershner,Mark Hamill / Harrison Ford / Carrie Fisher,Adventure / Action / Science Fiction,538400000,8.2,78.51783
The Revenant (2015),Alejandro González Iñárritu,Leonardo DiCaprio / Tom Hardy / Will Poulter,Western / Drama / Adventure / Thriller,532950503,7.3,100.635882
Madagascar (2005),Eric Darnell,Ben Stiller / Chris Rock / David Schwimmer,Family / Animation,532680671,6.6,48.110909
World War Z (2013),Marc Forster,Brad Pitt / Mireille Enos / Abigail Hargrove,Action / Drama / Horror / Science Fiction / Thriller,531865000,6.7,81.834855
The Simpsons Movie (2007),David Silverman,Dan Castellaneta / Julie Kavner / Nancy Cartwright,Animation / Comedy / Family,527068851,6.9,46.875375
Sherlock Holmes (2009),Guy Ritchie,Robert Downey Jr. / Jude Law / Rachel McAdams,Action / Adventure / Crime / Mystery,524028679,7.0,57.834787
WALL·E (2008),Andrew Stanton,Ben Burtt / Elissa Knight / Jeff Garlin,Animation / Family,521311860,7.8,66.390712
Kung Fu Panda 3 (2016),Jennifer Yuh Nelson,Jack Black / Bryan Cranston / Dustin Hoffman,Action / Adventure / Animation / Comedy / Family,521170825,6.7,56.747978
Terminator 2: Judgment Day (1991),James Cameron,Arnold Schwarzenegger / Linda Hamilton / Robert Patrick,Action / Thriller / Science Fiction,520000000,7.7,101.74155
Ant-Man (2015),Peyton Reed,Paul Rudd / Michael Douglas / Evangeline Lilly,Science Fiction / Action / Adventure,519311965,7.0,120.09361
Meet the Fockers (2004),Jay Roach,Ben Stiller / Teri Polo / Robert De Niro,Comedy / Romance,516642939,6.1,32.829538
Ghost (1990),Jerry Zucker,Patrick Swayze / Demi Moore / Whoopi Goldberg,Fantasy / Drama / Thriller / Mystery / Romance,505000000,6.9,41.967005
Aladdin (1992),Ron Clements,Scott Weinger / Robin Williams / Linda Larkin,Animation / Family / Comedy / Adventure / Fantasy / Romance,504050219,7.4,92.982009
Rio 2 (2014),Carlos Saldanha,Jesse Eisenberg / Anne Hathaway / Leslie Mann,Animation / Adventure / Comedy / Family,500188435,6.3,42.40024
Troy (2004),Wolfgang Petersen,Brad Pitt / Orlando Bloom / Eric Bana,Adventure / Drama / War,497409852,6.9,66.803149
Toy Story 2 (1999),John Lasseter,Tom Hanks / Tim Allen / Joan Cusack,Animation / Comedy / Family,497366869,7.3,73.575118
How to Train Your Dragon (2010),Chris Sanders,Jay Baruchel / Gerard Butler / Craig Ferguson,Fantasy / Adventure / Animation / Family,494878759,7.5,67.263269
Twister (1996),Jan de Bont,Helen Hunt / Bill Paxton / Cary Elwes,Action / Adventure / Drama,494471524,6.1,32.079995
Oz: The Great and Powerful (2013),Sam Raimi,James Franco / Mila Kunis / Rachel Weisz,Fantasy / Adventure / Family,491868548,5.7,46.985445
Rio (2011),Carlos Saldanha,Jesse Eisenberg / Anne Hathaway / Leslie Mann,Animation / Adventure / Comedy / Family,484635760,6.5,46.200042
Bruce Almighty (2003),Tom Shadyac,Jim Carrey / Jennifer Aniston / Philip Baker Hall,Fantasy / Comedy,484572835,6.4,109.684788
Shrek (2001),Andrew Adamson,Mike Myers / Eddie Murphy / Cameron Diaz,Adventure / Animation / Comedy / Family / Fantasy,484409218,7.3,67.298732
Rise of the Planet of the Apes (2011),Rupert Wyatt,James Franco / Freida Pinto / John Lithgow,Thriller / Action / Drama / Science Fiction,482860185,7.0,138.433168
Saving Private Ryan (1998),Steven Spielberg,Tom Hanks / Matt Damon / Vin Diesel,Drama / History / War,481840909,7.9,76.041867
Mr. & Mrs. Smith (2005),Doug Liman,Angelina Jolie / Brad Pitt / Vince Vaughn,Action / Comedy / Drama / Thriller,478207520,6.5,44.635452
Teenage Mutant Ninja Turtles (2014),Jonathan Liebesman,Megan Fox / Will Arnett / William Fichtner,Science Fiction / Action / Adventure / Fantasy / Comedy,477200000,5.8,143.350376
Home Alone (1990),Chris Columbus,Macaulay Culkin / Joe Pesci / Daniel Stern,Comedy / Family,476684675,7.1,2.186927
Charlie and the Chocolate Factory (2005),Tim Burton,Johnny Depp / Freddie Highmore / David Kelly,Adventure / Comedy / Family / Fantasy,474968763,6.7,53.905592
Indiana Jones and the Last Crusade (1989),Steven Spielberg,Harrison Ford / Sean Connery / Denholm Elliott,Adventure / Action,474171806,7.6,80.972475
Hotel Transylvania 2 (2015),Genndy Tartakovsky,Adam Sandler / Andy Samberg / Selena Gomez,Animation / Comedy / Family,473226958,6.7,61.692197
Wreck-It Ralph (2012),Rich Moore,John C. Reilly / Sarah Silverman / Jack McBrayer,Family / Animation / Comedy / Adventure,471222889,7.1,62.341073
Jaws (1975),Steven Spielberg,Roy Scheider / Robert Shaw / Richard Dreyfuss,Horror / Thriller / Adventure,470654000,7.5,50.152327
San Andreas (2015),Brad Peyton,Dwayne Johnson / Alexandra Daddario / Carla Gugino,Action / Drama / Thriller,470490832,6.0,100.412364
The Lego Movie (2014),Phil Lord,Chris Pratt / Will Ferrell / Elizabeth Banks,Adventure / Animation / Comedy / Family / Fantasy,469160692,7.5,59.547928
Star Trek Into Darkness (2013),J.J. Abrams,Chris Pine / Zachary Quinto / Zoe Saldana,Action / Adventure / Science Fiction,467365246,7.4,78.291018
The Matrix (1999),Lilly Wachowski,Keanu Reeves / Laurence Fishburne / Carrie-Anne Moss,Action / Science Fiction,463517383,7.9,104.309993
Pretty Woman (1990),Garry Marshall,Julia Roberts / Richard Gere / Ralph Bellamy,Romance / Comedy,463000000,7.0,45.473484
Cars (2006),John Lasseter,Owen Wilson / Paul Newman / Bonnie Hunt,Animation / Adventure / Comedy / Family,461983149,6.6,82.643036
X-Men: The Last Stand (2006),Brett Ratner,Hugh Jackman / Halle Berry / Ian McKellen,Adventure / Action / Science Fiction / Thriller,459359555,6.3,3.857526
The Hangover (2009),Todd Phillips,Bradley Cooper / Ed Helms / Zach Galifianakis,Comedy,459270619,7.2,82.21166
Mission: Impossible (1996),Brian De Palma,Tom Cruise / Jon Voight / Emmanuelle Béart,Adventure / Action / Thriller,457696359,6.7,75.290998
Gladiator (2000),Ridley Scott,Russell Crowe / Joaquin Phoenix / Connie Nielsen,Action / Drama / Adventure,457640427,7.9,95.301296
The Last Samurai (2003),Edward Zwick,Tom Cruise / Ken Watanabe / William Atherton,Drama / Action / War / History,456758981,7.3,52.341226
Ocean's Eleven (2001),Steven Soderbergh,George Clooney / Brad Pitt / Matt Damon,Thriller / Crime,450717150,7.2,60.929352
Thor (2011),Kenneth Branagh,Chris Hemsworth / Natalie Portman / Tom Hiddleston,Adventure / Fantasy / Action,449326618,6.6,86.493424
Pearl Harbor (2001),Michael Bay,Ben Affleck / Josh Hartnett / Kate Beckinsale,History / Romance / War,449220945,6.6,34.20669
Alvin and the Chipmunks: The Squeakquel (2009),Betty Thomas,Zachary Levi / David Cross / Jason Lee,Comedy / Family / Animation / Fantasy / Music,443140005,5.4,29.412262
The Bourne Ultimatum (2007),Paul Greengrass,Matt Damon / Julia Stiles / David Strathairn,Action / Drama / Mystery / Thriller,442824138,7.3,45.381501
Men in Black II (2002),Barry Sonnenfeld,Tommy Lee Jones / Will Smith / Rip Torn,Action / Adventure / Comedy / Science Fiction,441818803,6.0,91.332849
Les Misérables (2012),Tom Hooper,Hugh Jackman / Russell Crowe / Anne Hathaway,Drama / Music / Romance,441809770,7.1,48.356214
The Exorcist (1973),William Friedkin,Linda Blair / Max von Sydow / Ellen Burstyn,Drama / Horror / Thriller,441306145,7.5,47.584643
Mrs. Doubtfire (1993),Chris Columbus,Robin Williams / Sally Field / Pierce Brosnan,Comedy / Drama / Family,441286195,7.0,30.884535
